scorer,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200
bodyparts,Nose,Nose,Nose,Head,Head,Head,MainBody,MainBody,MainBody,Butt,Butt,Butt,TailTip,TailTip,TailTip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
59,518.9035,429.85962,0.8822905,522.6174,409.53436,0.7202812,531.0388,368.0476,0.7550695,535.89374,334.20242,0.4345849,524.49744,244.82104,0.9341384
60,515.0668,436.76834,0.9376559,518.8737,416.79324,0.7428774,527.5865,374.91962,0.7017706,535.89374,340.4759,0.6333305,528.28107,257.19705,0.887899
61,513.3035,444.6636,0.9744602,515.3688,424.02686,0.73140776,522.9135,381.81088,0.65465546,535.89374,346.15012,0.7139373,530.68805,263.36514,0.89476186
62,511.90546,450.4698,0.8821427,513.7958,431.1445,0.7520385,522.24634,384.9436,0.62567824,531.32135,350.9268,0.87789845,531.1588,265.31885,0.8580296
63,511.90546,455.11252,0.8467328,513.5509,434.93362,0.7343772,519.28204,400.85574,0.5567517,530.7318,356.06857,0.8859459,531.65247,272.65512,0.8750142
64,511.90546,463.0785,0.843905,513.1361,440.5949,0.8037872,518.9073,404.39395,0.56134707,528.8721,362.61682,0.8502846,531.65247,278.6537,0.89467674
65,511.90546,470.49976,0.879531,513.1361,449.66974,0.77632684,518.0722,415.54214,0.59872377,525.1791,371.81854,0.7840369,531.65247,291.77914,0.9145714
66,511.78683,478.67734,0.87757903,512.2268,456.94864,0.8193929,516.58234,415.6037,0.67507035,524.14795,380.55133,0.65121603,527.9928,296.16544,0.8867487
67,510.3755,487.94666,0.8983678,509.94104,466.64508,0.7512641,514.5233,428.12387,0.5950715,521.0398,387.95514,0.7378338,524.4556,302.50897,0.812835
68,505.69736,495.50406,0.84610605,507.1753,474.14322,0.7842801,511.88333,436.4632,0.6212708,521.0398,395.66992,0.71539605,524.4556,312.13602,0.8366545
69,499.82104,501.67825,0.95682013,504.29324,481.8074,0.7711612,511.59225,440.77548,0.65478915,520.19684,402.15085,0.6730095,527.9928,318.0393,0.84499615
70,497.41052,505.4818,0.90775394,501.01758,486.31265,0.7846008,509.87292,445.32,0.6730468,519.4109,406.6958,0.5950423,528.46686,324.03357,0.91978467
71,497.13333,509.6672,0.8912099,498.1564,488.03113,0.7321948,505.77097,447.42734,0.71538025,517.1811,413.20343,0.7107366,528.54047,329.85217,0.89943975
72,493.3379,516.05444,0.94369507,494.0073,496.07297,0.8031514,505.74933,450.1637,0.6436821,515.08923,417.37097,0.8505089,529.2542,332.5841,0.8633816
73,490.35254,519.11145,0.8817347,492.61035,498.49533,0.8102431,499.70795,465.1136,0.58687806,513.6463,422.4841,0.8999641,530.96924,338.70587,0.9388445
74,480.43274,520.7585,0.88592625,488.93665,502.1244,0.8273494,499.0908,467.75552,0.633155,513.25385,425.65756,0.8498837,532.24493,343.52426,0.9461883
75,477.40656,521.76306,0.8855417,487.0413,502.74155,0.78447324,497.82205,468.78052,0.6339584,512.8103,428.4088,0.87122357,532.5367,345.9594,0.91638774
76,469.8477,523.3683,0.98574084,482.79077,504.6161,0.75045127,494.91037,475.28372,0.6709911,512.8103,433.0867,0.76970273,532.75775,349.8572,0.91793346
77,464.69736,523.3683,0.87762564,479.95685,506.6399,0.7753783,492.6345,478.86493,0.7725558,513.25385,438.3617,0.6801699,533.71246,355.58228,1.0
78,456.9216,523.3683,0.95766485,477.05807,508.73004,0.850282,492.6345,480.25143,0.6973419,513.98346,444.32855,0.61756563,534.1142,362.72974,0.9652674
79,453.57455,522.9756,0.9582054,474.80115,508.9575,0.8597921,491.59286,481.591,0.68563986,513.9842,446.14258,0.61740136,537.5844,364.92038,0.9461658
80,449.16858,522.9756,0.97174805,473.69528,508.96677,0.80764234,491.04382,482.43307,0.70515025,518.3431,448.14288,0.5165926,539.1309,366.4959,0.9150934
81,443.7764,522.9756,0.96078646,464.58984,511.7951,0.89204836,489.62985,486.58597,0.7612524,518.9817,449.2793,0.47337174,542.25775,373.36478,0.94895434
82,439.65112,523.7943,0.94559294,459.22647,512.8217,0.90779054,486.70776,488.7088,0.72320557,518.9817,451.70435,0.44013733,547.7909,378.11862,0.98227453
83,437.4223,525.2725,0.89822304,456.13223,514.31415,0.86503863,484.6922,489.56262,0.7135971,518.9817,453.76913,0.3991634,551.18384,385.07898,0.9726621
84,428.6042,526.8212,0.8378734,451.62772,516.99115,0.7802501,482.73102,489.8876,0.761974,512.95636,457.02423,0.37471953,551.18384,386.0972,0.95537984
85,425.9534,529.64166,0.8941437,449.34732,519.07245,0.83601195,481.06558,489.8876,0.7421036,510.60565,457.02423,0.40974462,551.18384,386.0972,0.9474014
86,425.9534,529.64166,0.7785726,449.34732,519.07245,0.7838642,480.73007,489.8876,0.73516375,510.07004,457.02423,0.4226198,549.2659,386.0972,0.98960054
87,425.79852,529.64166,0.84760654,449.34732,519.07245,0.8169952,480.68677,489.2363,0.7141884,507.46,456.935,0.42939195,549.1859,385.99515,0.968548
88,425.3939,525.85645,0.77558243,449.34732,516.9571,0.75972164,480.68677,488.72394,0.7462487,507.46,456.4191,0.45313364,548.3354,384.27957,0.91974634
89,425.3939,519.675,0.8154896,449.34732,512.8773,0.79337317,480.73007,487.15634,0.76098186,507.46,455.4879,0.5521994,546.6114,382.06024,0.9484461
90,425.3939,513.40216,0.7965374,449.70023,510.44437,0.76063466,481.14642,486.4941,0.76939374,508.1685,454.87933,0.55294657,546.6114,378.78473,0.89739686
91,425.29358,510.18082,0.85030717,449.16916,509.38684,0.774077,481.54996,486.04388,0.7855886,511.6067,454.78455,0.481353,544.9038,377.9666,0.8932613
92,423.0785,506.3396,0.85192436,447.48453,506.30798,0.8750588,481.54996,485.57724,0.7829756,511.90228,454.45862,0.5747987,544.85077,377.9666,0.96923876
93,423.0785,502.07892,0.89222836,447.48453,503.0413,0.79831296,481.54996,484.50757,0.79086894,511.9245,454.45862,0.5573496,544.6533,377.9666,0.96703434
94,423.0785,497.1461,0.91487044,445.83066,499.65918,0.86486757,480.12305,484.3653,0.7590307,511.9245,454.18158,0.5522588,544.6533,378.14227,0.9443342
95,417.643,495.54095,0.9496214,444.65146,498.09247,0.7879359,478.99088,484.3653,0.7787821,513.2,453.8735,0.56098205,544.6533,378.2518,0.9020412
96,417.643,495.54095,0.9261838,444.65146,498.09247,0.751475,478.99088,484.3653,0.81030935,513.2,453.7177,0.5382697,546.4736,378.2518,0.9917651
97,417.643,495.54095,0.9196807,444.65146,498.09247,0.75896555,478.99088,484.3653,0.7982118,513.2,453.46246,0.5337416,546.4736,378.2518,0.9474104
98,427.1509,502.16992,0.9069372,453.12073,499.904,0.8424413,481.7417,481.94962,0.798432,513.0947,452.4787,0.5634035,546.4736,377.35138,0.952905
99,439.3752,516.955,0.9172885,461.8134,502.87415,0.8881015,483.07364,481.94962,0.85590684,511.75555,449.34167,0.67351294,544.21313,376.58276,0.9205916
100,450.12878,526.128,0.86127627,466.00998,504.74512,0.8640353,483.7891,481.94962,0.8545482,511.39496,449.34167,0.77024716,541.83386,376.58276,0.95572734
